Poste,Date,Timestamp,Categorie,Plaque
E10,2025-06-03,07:29:46,VL,BX-187-SV
E10,2025-06-03,07:30:10,BUS,DB-578-PK
E10,2025-06-03,07:30:14,BUS,FH-006-QE
E10,2025-06-03,07:30:17,VL,EB-449-HP
E10,2025-06-03,07:30:18,VL,EC-601-EJ
E10,2025-06-03,07:30:21,VL,FT-376-DE
E10,2025-06-03,07:30:23,VL,EM-151-FJ
E10,2025-06-03,07:30:47,VL,GA-392-AR
E10,2025-06-03,07:30:49,VL,DY-402-BT
E10,2025-06-03,07:30:51,INCONNU,FX-353-SQ
E10,2025-06-03,07:30:55,VL,GK-474-GY
E10,2025-06-03,07:30:57,VL,FC-963-VB
E10,2025-06-03,07:30:59,VL,EY-590-GF
E10,2025-06-03,07:31:03,VL,FW-745-HC
E10,2025-06-03,07:31:05,VL,ER-219-LQ
E10,2025-06-03,07:31:07,INCONNU,BG-210-YD
E10,2025-06-03,07:31:37,VL,EA-492-XL
E10,2025-06-03,07:31:42,VL,DP-723-AY
E10,2025-06-03,07:31:44,VL,GW-545-ND
E10,2025-06-03,07:31:48,VL,FC-279-TV
E10,2025-06-03,07:31:56,VL,CR-938-CF
E10,2025-06-03,07:32:01,VL,EL-367-DE
E10,2025-06-03,07:32:32,VL,GD-300-WJ
E10,2025-06-03,07:32:37,VL,AC-524-EJ
E10,2025-06-03,07:32:40,VL,DX-481-ND
E10,2025-06-03,07:32:46,VL,AM-050-BE
E10,2025-06-03,07:32:48,BUS,EM-142-RM
E10,2025-06-03,07:32:50,VL,HC-176-JP
E10,2025-06-03,07:32:52,VL,CC-530-NP
E10,2025-06-03,07:32:54,VL,FY-466-WB
E10,2025-06-03,07:33:37,BUS,GB-701-TA
E10,2025-06-03,07:33:38,VL,FZ-540-JE
E10,2025-06-03,07:33:40,VL,GW-912-HN
E10,2025-06-03,07:33:44,VL,BQ-277-FC
E10,2025-06-03,07:33:46,VL,FY-006-NF
E10,2025-06-03,07:33:48,VL,FG-994-JK
E10,2025-06-03,07:33:52,VL,GF-441-MZ
E10,2025-06-03,07:33:56,PL,FZ-449-DS
E10,2025-06-03,07:34:00,BUS,EN-334-RP
E10,2025-06-03,07:34:02,VL,GH-494-GS
