date_heure_passage,numero_plaque,format
2026-02-11 06:48:18,FN-022-RN,SIV
2026-02-11 06:48:28,GK-269-JC,SIV
2026-02-11 06:48:30,GL-632-AH,SIV
2026-02-11 06:48:48,FP-058-LP,SIV
2026-02-11 06:48:51,GA-896-GX,SIV
2026-02-11 06:48:58,GY-996-KF,SIV
2026-02-11 06:49:07,GS-547-YL,SIV
2026-02-11 06:49:15,FC-563-SP,SIV
2026-02-11 06:49:25,FW-589-BK,SIV
2026-02-11 06:49:30,EH-857-QT,SIV
2026-02-11 06:49:36,CZ-273-AE,SIV
2026-02-11 06:49:38,GF-159-HH,SIV
2026-02-11 06:49:42,EA-437-LD,SIV
2026-02-11 06:49:43,GA-640-KY,SIV
2026-02-11 06:49:45,CZ-796-ZQ,SIV
2026-02-11 06:49:46,NL7814*,UNKNOWN
2026-02-11 06:49:46,NL*****,UNKNOWN
2026-02-11 06:49:48,ET-665-GC,SIV
2026-02-11 06:49:49,AV-353-AK,SIV
2026-02-11 06:50:06,CZ-286-AA,SIV
2026-02-11 06:50:11,FV-194-ET,SIV
2026-02-11 06:50:18,FZ-442-FG,SIV
2026-02-11 06:50:34,FC-144-WJ,SIV
2026-02-11 06:50:35,EN-417-YL,SIV
2026-02-11 06:50:36,NL*****,UNKNOWN
2026-02-11 06:50:42,FF-949-SY,SIV
2026-02-11 06:50:51,FN-936-VS,SIV
2026-02-11 06:51:02,DZ-712-ES,SIV
2026-02-11 06:51:13,EV-909-KX,SIV
2026-02-11 06:51:27,CX-367-VW,SIV
2026-02-11 06:51:33,EV-396-RK,SIV
2026-02-11 06:51:35,FY-230-FX,SIV
2026-02-11 06:51:48,GB-345-JP,SIV
2026-02-11 06:51:52,BQ-822-RF,SIV
2026-02-11 06:51:59,FW-950-TR,SIV
2026-02-11 06:52:02,NL*****,UNKNOWN
2026-02-11 06:52:11,GM-122-KH,SIV
2026-02-11 06:52:16,BL-281-AN,SIV
2026-02-11 06:52:20,DZ-739-VL,SIV
2026-02-11 06:52:22,QC-304-WY,SIV
2026-02-11 06:52:27,ER-709-DB,SIV
2026-02-11 06:52:29,GA-688-XK,SIV
2026-02-11 06:52:40,GM-800-CV,SIV
2026-02-11 06:52:49,FX-667-QY,SIV
2026-02-11 06:53:29,GB-295-AF,SIV
2026-02-11 06:53:30,GR-380-YM,SIV
2026-02-11 06:53:32,ES-396-FK,SIV
2026-02-11 06:53:42,CZ-897-AE,SIV
2026-02-11 06:53:46,GC-841-ZX,SIV
2026-02-11 06:53:50,CR-412-VR,SIV
2026-02-11 06:53:55,ET-275-NG,SIV
2026-02-11 06:53:58,CL-295-RK,SIV
2026-02-11 06:54:03,NL*****,UNKNOWN
2026-02-11 06:54:32,BN-062-NF,SIV
2026-02-11 06:54:37,DM-779-EF,SIV
2026-02-11 06:54:38,CN-356-QY,SIV
2026-02-11 06:54:39,BA-129-TP,SIV
2026-02-11 06:54:39,DF-458-TT,SIV
2026-02-11 06:54:42,CA-787-RC,SIV
2026-02-11 06:54:52,EB-189-WN,SIV
2026-02-11 06:54:56,FG-690-VJ,SIV
2026-02-11 06:55:06,CG-730-KX,SIV
2026-02-11 06:55:09,CP-420-BC,SIV
2026-02-11 06:55:10,NL*****,UNKNOWN
2026-02-11 06:55:12,CD-262-WG,SIV
2026-02-11 06:55:18,FS-950-FT,SIV
2026-02-11 06:56:23,DC-586-AL,SIV
2026-02-11 06:56:48,BD-272-DE,SIV
2026-02-11 06:57:17,DB-941-KT,SIV
2026-02-11 06:57:35,GP-491-YT,SIV
2026-02-11 06:57:44,BN-461-MP,SIV
2026-02-11 06:57:46,FD-948-GQ,SIV
2026-02-11 06:57:47,EX-216-NS,SIV
2026-02-11 06:57:51,EV-674-GN,SIV
2026-02-11 06:58:08,FN-772-KE,SIV
2026-02-11 06:58:15,EC-617-GM,SIV
2026-02-11 06:58:21,DJ-632-FS,SIV
2026-02-11 06:58:29,DD-999-ZV,SIV
2026-02-11 06:58:38,FR-506-RE,SIV
2026-02-11 06:58:40,NL*****,UNKNOWN
2026-02-11 06:58:40,GM-133-FS,SIV
2026-02-11 06:59:10,FW-388-NN,SIV
2026-02-11 06:59:37,FK-491-SC,SIV
2026-02-11 06:59:46,EA-536-SV,SIV
2026-02-11 06:59:49,BD-368-NV,SIV
2026-02-11 07:00:01,NL*****,UNKNOWN
2026-02-11 07:00:01,BJ-775-JN,SIV
2026-02-11 07:00:05,FM-559-EP,SIV
2026-02-11 07:00:21,CV-998-HP,SIV
2026-02-11 07:00:44,AN-876-TR,SIV
2026-02-11 07:00:58,BQ-676-PX,SIV
2026-02-11 07:01:31,DG-621-NX,SIV
2026-02-11 07:01:32,EN-044-NW,SIV
2026-02-11 07:01:36,DY-958-WN,SIV
2026-02-11 07:01:44,CE-503-XT,SIV
2026-02-11 07:01:47,DR-834-XW,SIV
2026-02-11 07:01:48,GK-093-PX,SIV
2026-02-11 07:02:22,EX-837-QS,SIV
2026-02-11 07:02:23,DM-138-BJ,SIV
2026-02-11 07:02:24,EA-514-AZ,SIV
2026-02-11 07:02:29,GH-391-HY,SIV
2026-02-11 07:02:37,GH-321-RY,SIV
2026-02-11 07:02:38,FR-682-WT,SIV
2026-02-11 07:02:49,AS-461-VC,SIV
2026-02-11 07:02:50,FM-935-NB,SIV
2026-02-11 07:02:54,GB-665-XL,SIV
2026-02-11 07:02:59,RJ196**,UNKNOWN
2026-02-11 07:02:59,GC-982-JQ,SIV
